,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
214,A-,0.8375,2,0.416666667,1,0.416666667,0.594594595,0.519230769,0.789473684,0.793478261,1,0.666666667,0.82,0.92,0.75,0.94,0.56,0.38,0.833333333,0.944444444,0.833333333,0.944444444,0.777777778,0,2,2,1,82,41,80,Civil VII,9,A-
215,B,0.705,4,0.791666667,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.9,0.88,0.625,0.78,0.4,0.4,0.777777778,0.833333333,0.722222222,0.888888889,0.722222222,0,4,4,1,90,45,70,Civil VII,7,B
216,A-,0.8875,2,0.927222222,1,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.84,0.92,0.708333333,0.98,0.44,0.38,0.833333333,1,0.888888889,0.888888889,0.944444444,1,2,2,1,84,42,80,Civil VII,9,A-
217,B,0.7075,4,0.572222222,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,0,0.666666667,0.94,0.86,0.541666667,0.76,0.48,0.4,0.777777778,0.833333333,0.833333333,0.722222222,0.666666667,0,4,4,1,94,47,70,Civil VII,7,B
218,B-,0.655,5,0.783333333,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.84,0.94,0.416666667,0.66,0.38,0.4,0.666666667,0.833333333,0.777777778,0.666666667,0.777777778,0.888888889,5,5,1,84,42,65,Civil VII,6,B-
219,A-,0.905,2,0.783333333,0,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.84,0.9,0.916666667,0.88,0.5,0.36,1,0.888888889,0.833333333,1,0.944444444,0.944444444,2,2,1,84,42,80,Civil VII,9,A-
220,A-,0.9175,2,0.666666667,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,0,0.666666667,0.92,0.98,0.916666667,0.94,0.56,0.36,0.944444444,0.888888889,0.888888889,1,0.944444444,1,2,2,1,92,46,80,Civil VII,9,A-
221,F,0,0,0.880555556,1,0.666666667,0.621621622,0.769230769,0.447368421,0.923913043,0,0.666666667,0.88,0.94,0.583333333,0.72,0.22,0.38,0.777777778,0,0,0,0,0,0,0,0,88,44,0,Civil VII,0,F
222,F,0,0,0.791666667,1,0.666666667,0.621621622,0.769230769,0.447368421,0.923913043,0,0.666666667,0.84,0.78,0.666666667,0.94,0.2,0.4,0.888888889,0.833333333,0,0,0,0,0,0,0,84,42,0,Civil VII,0,F
223,F,0,0,0.732777778,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,0,1,0.78,0.8,0.166666667,0.66,0.32,0.38,0.611111111,0,0,0,0,0,0,0,0,78,39,0,Civil VII,0,F
224,F,0,0,0.524444444,1,0.666666667,0.297297297,0.538461538,0.236842105,0.782608696,1,0,0.9,0.92,0.541666667,0.8,0.38,0.4,0.888888889,0.722222222,0.666666667,0.777777778,0,0,0,0,0,90,45,0,Civil VII,0,F
225,F,0,0,0.444444444,1,0.611111111,0.621621622,0.788461538,0.710526316,0.782608696,0.666666667,1,0.8,0.9,0.5,0.64,0.3,0.36,0,0,0,0,0,0,0,0,0,80,40,0,Civil VII,0,F
226,F,0,0,0.680555556,0,0.527777778,0.189189189,0.576923077,0.368421053,0.804347826,0,1,0.88,0.9,0.791666667,0.88,0.44,0.4,1,0.833333333,0,0.722222222,0.888888889,0.888888889,0,0,0,88,44,0,Civil VII,0,F
227,F,0,0,0.894444444,0,0.611111111,0.567567568,0.634615385,0.868421053,0.706521739,1,0.666666667,0.98,0.94,0.583333333,0.84,0.46,0.4,0.666666667,0.611111111,0,0,0,0.888888889,0,0,0,98,49,0,Civil VII,0,F
228,F,0,0,0.482777778,1,0.611111111,0.567567568,0.634615385,0.868421053,0.706521739,1,0.666666667,0.82,0.92,0.5,0.62,0.44,0.36,0.777777778,0.611111111,0.666666667,0,0,0,0,0,0,82,41,0,Civil VII,0,F
229,F,0,0,0.857777778,1,0.777777778,0.594594595,0.519230769,0.789473684,0.793478261,1,0.666666667,0.88,0.98,0.75,0.86,0.42,0.38,0.722222222,0.722222222,0,0,0.777777778,0,0,0,0,88,44,0,Civil VII,0,F
230,F,0,0,0.857777778,0,0.777777778,0.513513514,0.769230769,0.526315789,0.869565217,1,0.666666667,0.94,0.78,0.375,0.64,0.5,0.4,0,0,0,0,0,0,0,0,0,94,47,0,Civil VII,0,F
231,F,0,0,0.861111111,0,0.833333333,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.86,0.74,0.583333333,0.86,0.36,0.38,0.833333333,0.666666667,0.666666667,0.888888889,0,0.944444444,0,0,0,86,43,0,Civil VII,0,F
232,F,0,0,0.705,0,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,0.666666667,0.666666667,0.86,0.74,0.583333333,0.84,0.4,0.4,0.833333333,0.722222222,0.666666667,0.777777778,0,0.944444444,0,0,0,86,43,0,Civil VII,0,F
233,F,0,0,0.769444444,1,0.5,0.702702703,0.865384615,1,1,0.666666667,1,0.72,0.72,0.583333333,0.62,0.24,0.38,0,0,0,0,0,0,0,0,0,72,36,0,Civil VII,0,F
234,F,0,0,0.350833333,0,0.027777778,0.621621622,0.769230769,0.447368421,0.923913043,0,0.666666667,0.72,0.7,0.666666667,0.84,0.28,0.4,0.888888889,0.777777778,0,0.777777778,0.777777778,0,0,0,0,72,36,0,Civil VII,0,F
235,F,0,0,0.819444444,1,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,1,1,0.74,0.86,0.375,0.54,0.32,0.36,0,0,0,0,0,0,0,0,0,74,37,0,Civil VII,0,F
236,F,0,0,0.747222222,0,0.777777778,0.513513514,0.596153846,0.605263158,0.760869565,1,1,0.7,0.84,0.666666667,0.84,0.52,0.38,0.888888889,0.833333333,0,0.888888889,0.888888889,0,0,0,0,70,35,0,Civil VII,0,F
237,F,0,0,0.725,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,0,1,0.78,0.78,0.666666667,0.96,0.42,0.4,0.888888889,1,0.777777778,1,1,0,0,0,0,78,39,0,Civil VII,0,F
238,F,0,0,0.888888889,0,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,1,0.666666667,0.96,0.94,0.583333333,0.82,0.54,0.38,0,0.666666667,0.833333333,0.833333333,0.722222222,0,0,0,0,96,48,0,Civil VII,0,F
239,F,0,0,0.875,1,0.611111111,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.96,0.86,0.625,0.9,0.22,0.38,0.777777778,0.666666667,0,0.722222222,0,0,0,0,0,96,48,0,Civil VII,0,F
240,F,0,0,0.722222222,0,0.833333333,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.88,0.86,0.458333333,0.76,0.34,0.38,0.777777778,0.611111111,0,0,0,0.944444444,0,0,0,88,44,0,Civil VII,0,F
241,F,0,0,0.208333333,0,0.583333333,0.216216216,0.230769231,0.657894737,0.673913043,1,1,0.64,0.72,0.375,0.54,0.3,0.38,0,0,0,0,0,0,0,0,0,64,32,0,Civil VII,0,F
242,F,0,0,0.604166667,0,0.611111111,0.216216216,0.230769231,0.657894737,0.673913043,1,1,0.66,0.72,0.708333333,0.84,0.28,0.4,0.777777778,0,0,0,0,0,0,0,0,66,33,0,Civil VII,0,F
243,F,0,0,0.6,0,0.638888889,0.567567568,0.288461538,0.789473684,0.673913043,1,1,0.8,0.74,0.5,0.86,0.34,0.36,0.722222222,0.722222222,0,0.611111111,0,0,0,0,0,80,40,0,Civil VII,0,F
244,F,0,0,0.852777778,0,0.527777778,0.243243243,0.384615385,0.526315789,0.673913043,0,0.666666667,0.8,0.84,0.583333333,0.62,0.42,0.38,0.777777778,0.611111111,0,0.666666667,0.777777778,0.944444444,0,0,0,80,40,0,Civil VII,0,F
245,F,0,0,0.722222222,1,0.805555556,0.540540541,0.576923077,0.5,0.826086957,1,1,0.82,0.74,0.416666667,0.88,0.32,0.36,0.722222222,0.722222222,0.611111111,0.722222222,0,0,0,0,0,82,41,0,Civil VII,0,F
246,F,0,0,0.927222222,1,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.8,0.84,0.583333333,0.62,0.2,0.4,0,0,0,0,0,0.888888889,0,0,0,80,40,0,Civil VII,0,F
247,F,0,0,0.783333333,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.86,0.82,0.625,0.84,0.48,0.4,0.777777778,0,0.777777778,0,0,0,0,0,0,86,43,0,Civil VII,0,F
248,F,0,0,0.783333333,0,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.76,0.72,0.583333333,0.64,0.34,0.4,0.777777778,0.722222222,0,0.833333333,0,0,0,0,0,76,38,0,Civil VII,0,F
249,F,0,0,0.416666667,0,0.472222222,0.162162162,0.384615385,0.236842105,0.597826087,0.666666667,1,0.8,0.74,0.583333333,0.68,0.46,0.38,0.666666667,0.611111111,0,0.611111111,0,0,0,0,0,80,40,0,Civil VII,0,F
250,F,0,0,0.888888889,0,0.861111111,0.27027027,0.384615385,0.394736842,0.706521739,0,0.666666667,0.96,0.94,0.625,0.84,0.34,0.36,0.777777778,0.722222222,0,0.722222222,0,0,0,0,0,96,48,0,Civil VII,0,F
251,F,0,0,0.444444444,0,0.5,0.324324324,0.288461538,0.394736842,0.913043478,0,1,0.92,0.86,0.333333333,0.86,0.42,0.36,0.666666667,0.666666667,0,0,0,0,0,0,0,92,46,0,Civil VII,0,F
252,F,0,0,0.323055556,0,0,0.72972973,0.826923077,0.973684211,0.826086957,1,0.666666667,0.88,0.88,0.166666667,0.58,0.3,0.38,0.611111111,0.611111111,0,0.611111111,0,0,0,0,0,88,44,0,Civil VII,0,F
253,F,0,0,0.378611111,0,0.888888889,0.513513514,0.596153846,0.763157895,0.826086957,1,1,0.88,0.92,0.458333333,0.54,0.4,0.38,0.722222222,0,0,0.666666667,0.666666667,0.888888889,0,0,0,88,44,0,Civil VII,0,F
254,F,0,0,0.583333333,0,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,1,1,0.84,0.84,0.333333333,0.72,0.32,0.38,0.666666667,0.777777778,0,0.777777778,0.722222222,0.888888889,0,0,0,84,42,0,Civil VII,0,F
255,F,0,0,0.583333333,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,0,1,0.92,0.88,0.75,0.74,0.48,0.36,0.888888889,0.666666667,0.722222222,0.888888889,0.777777778,0,0,0,0,92,46,0,Civil VII,0,F
256,F,0,0,0.5,1,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,1,0.666666667,0.78,0.72,0,0.54,0.3,0.36,0,0,0,0,0,0.888888889,0,0,0,78,39,0,Civil VII,0,F
257,F,0,0,0.444444444,1,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,0,1,0.92,0.9,0.5,0.8,0.38,0.38,0,0.722222222,0,0,0,0,0,0,0,92,46,0,Civil VII,0,F
258,F,0,0,0.111111111,0,0.666666667,0.297297297,0.538461538,0.236842105,0.782608696,1,0,0.7,0.84,0.583333333,0.8,0.46,0.4,0,0.666666667,0.722222222,0,0.666666667,0,0,0,0,70,35,0,Civil VII,0,F
259,F,0,0,0.361111111,1,0.611111111,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.9,0.92,0.416666667,0.7,0.54,0.36,0.666666667,0,0.722222222,0,0.666666667,0,0,0,0,90,45,0,Civil VII,0,F
260,F,0,0,0.166666667,0,0.777777778,0.540540541,0.615384615,0.789473684,0.902173913,0,1,0.88,0.92,0.708333333,0.82,0.54,0.4,0.777777778,0.722222222,0.777777778,0.722222222,0,0,0,0,0,88,44,0,Civil VII,0,F
261,A,1,1,0.880555556,1,0.666666667,0.621621622,0.769230769,0.447368421,0.923913043,0,1,0.8,0.86,0.416666667,0.8,0.72,0.8,0,0.611111111,0.722222222,0,0,0,1,1,1,80,40,90,Civil VIII,10,A
262,A,1,1,0.791666667,1,0.666666667,0.621621622,0.769230769,0.447368421,0.923913043,1,0.666666667,0.84,0.8,0.875,0.84,0.94,0.84,0.722222222,0.611111111,0.833333333,0,0,0,1,1,1,84,42,90,Civil VIII,10,A
263,A,0.985,1,0.732777778,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,1,0.666666667,0.82,0.92,0.291666667,0.6,0.66,0.6,0,0,0.555555556,0,0,0,1,1,1,82,41,85,Civil VIII,10,A
264,A,0.985,1,0.524444444,1,0.666666667,0.297297297,0.538461538,0.236842105,0.782608696,1,0.666666667,0.9,0.88,0.583333333,0.78,0.8,0.78,0.777777778,0.666666667,0.777777778,0,0,0.888888889,1,1,1,90,45,85,Civil VIII,10,A
265,A,0.985,1,0.444444444,1,0.611111111,0.621621622,0.788461538,0.710526316,0.782608696,1,0.666666667,0.84,0.92,0.25,0.76,0.64,0.76,0,0.666666667,0.722222222,0.777777778,0,0,1,1,1,84,42,85,Civil VIII,10,A
266,A,0.9625,1,0.694444444,0,0.888888889,0.405405405,0.384615385,0.394736842,0.815217391,1,0.666666667,0.94,0.86,0.625,0.8,0.82,0.8,0.833333333,0.722222222,0.944444444,0,0,1,1,1,1,94,47,85,Civil VIII,10,A
267,A,0.9525,1,0.680555556,0,0.527777778,0.189189189,0.576923077,0.368421053,0.804347826,0.666666667,0.666666667,0.84,0.94,0.75,0.9,0.88,0.9,0.777777778,0.722222222,0.944444444,1,0,0,1,1,1,84,42,85,Civil VIII,10,A
268,A,0.9525,1,0.894444444,0,0.611111111,0.567567568,0.634615385,0.868421053,0.706521739,0.666666667,1,0.84,0.9,0.666666667,0.8,0.84,0.8,0.611111111,0.666666667,0.666666667,0.888888889,0,0,1,1,1,84,42,85,Civil VIII,10,A
269,A,0.9525,1,0.482777778,1,0.611111111,0.567567568,0.634615385,0.868421053,0.706521739,0,0.666666667,0.92,0.98,0.208333333,0.76,0.62,0.76,0,0.611111111,0.611111111,0,0,0.722222222,1,1,1,92,46,85,Civil VIII,10,A
270,A,0.945,1,0.857777778,1,0.777777778,0.594594595,0.519230769,0.789473684,0.793478261,1,1,0.88,0.94,0.708333333,0.88,0.86,0.88,0.722222222,0.666666667,0.888888889,0,0,0.944444444,1,1,1,88,44,85,Civil VIII,10,A
271,A,0.935,1,0.857777778,0,0.777777778,0.513513514,0.769230769,0.526315789,0.869565217,1,1,0.84,0.78,0.25,0.7,0.64,0.7,0,0,0.5,0,0,0.722222222,1,1,1,84,42,85,Civil VIII,10,A
272,A,0.93,1,0.395833333,0,0.583333333,0.243243243,0.211538462,0.342105263,0.663043478,0,1,0.78,0.8,0.625,0.88,0.82,0.88,0.888888889,0.666666667,0.722222222,0.944444444,0,0,1,1,1,78,39,85,Civil VIII,10,A
273,A,0.93,1,0.861111111,0,0.833333333,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.9,0.92,0.708333333,0.8,0.86,0.8,0.777777778,0,0.777777778,0.888888889,0,0,1,1,1,90,45,85,Civil VIII,10,A
274,A,0.93,1,0.611111111,1,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,1,0.666666667,0.8,0.9,0.458333333,0.86,0.74,0.86,0.777777778,0.777777778,0.777777778,0.833333333,0,0,1,1,1,80,40,85,Civil VIII,10,A
275,A,0.93,1,0.705,0,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,1,0.666666667,0.88,0.9,0.666666667,0.8,0.84,0.8,0.722222222,0.666666667,0.833333333,0.944444444,0,0,1,1,1,88,44,85,Civil VIII,10,A
276,A-,0.925,2,0.769444444,1,0.5,0.702702703,0.865384615,1,1,1,1,0.98,0.94,0.208333333,0.8,0.62,0.8,0.611111111,0,0.666666667,0,0,0.777777778,2,2,1,98,49,85,Civil VIII,9,A-
277,A-,0.92,2,0.350833333,0,0.027777778,0.621621622,0.769230769,0.447368421,0.923913043,1,1,0.82,0.92,0.666666667,0.84,0.84,0.84,0,0.833333333,0.944444444,1,0,0,2,2,1,82,41,80,Civil VIII,9,A-
278,A-,0.9175,2,0.316111111,1,0.472222222,0.486486486,0.576923077,0.526315789,0.913043478,1,1,0.88,0.98,0.416666667,0.82,0.72,0.82,0.611111111,0.611111111,0.666666667,0,0,0.722222222,2,2,1,88,44,80,Civil VIII,9,A-
279,A-,0.9075,2,0.819444444,1,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,0,0.666666667,0.54,0.7,0.041666667,0.7,0.54,0.7,0,0,0,0,0,0.722222222,2,2,1,54,27,80,Civil VIII,9,A-
280,A-,0.9075,2,0.747222222,0,0.777777778,0.513513514,0.596153846,0.605263158,0.760869565,1,1,0.84,0.84,0.666666667,0.84,0.84,0.84,0.888888889,0.777777778,1,0,0,0,2,2,1,84,42,80,Civil VIII,9,A-
281,A-,0.9025,2,0.725,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,1,0.666666667,0.96,0.84,0.916666667,0.84,0.96,0.84,0.722222222,0.722222222,0.888888889,0,0,0,2,2,1,96,48,80,Civil VIII,9,A-
282,A-,0.8975,2,0.888888889,0,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,1,0.666666667,0.82,0.8,0.625,0.8,0.82,0.8,0.666666667,0.722222222,0.944444444,0,0,0,2,2,1,82,41,80,Civil VIII,9,A-
283,A-,0.8925,2,0.875,1,0.611111111,0.594594595,0.673076923,0.394736842,0.869565217,1,0.666666667,0.9,0.82,0.791666667,0.82,0.9,0.82,0,0.611111111,0.722222222,0,0,0.777777778,2,2,1,90,45,80,Civil VIII,9,A-
284,A-,0.8875,2,0.722222222,0,0.833333333,0.594594595,0.673076923,0.394736842,0.869565217,0.666666667,1,0.76,0.74,0.5,0.74,0.76,0.74,0,0.722222222,0.722222222,0.777777778,0,0,2,2,1,76,38,80,Civil VIII,9,A-
285,A-,0.8775,2,0.208333333,0,0.583333333,0.216216216,0.230769231,0.657894737,0.673913043,0,0.666666667,0.54,0.7,0.041666667,0.7,0.54,0.7,0,0,0,0,0,0.777777778,2,2,1,54,27,80,Civil VIII,9,A-
286,A-,0.875,2,0.604166667,0,0.611111111,0.216216216,0.230769231,0.657894737,0.673913043,0,1,0.84,0.86,0.666666667,0.86,0.84,0.86,0.722222222,0.666666667,0.833333333,0.833333333,0,0,2,2,1,84,42,80,Civil VIII,9,A-
287,A-,0.87,2,0.6,0,0.638888889,0.567567568,0.288461538,0.789473684,0.673913043,1,0.666666667,0.86,0.76,0.708333333,0.76,0.86,0.76,0.666666667,0.777777778,0.777777778,0,0,1,2,2,1,86,43,80,Civil VIII,9,A-
288,A-,0.87,2,0.852777778,0,0.527777778,0.243243243,0.384615385,0.526315789,0.673913043,1,1,0.62,0.8,0.208333333,0.8,0.62,0.8,0.666666667,0.666666667,0.666666667,0.888888889,0,0,2,2,1,62,31,80,Civil VIII,9,A-
289,A-,0.865,2,0.857777778,0,0.694444444,0.72972973,0.769230769,0.868421053,0.869565217,1,1,0.98,0.96,0.958333333,0.96,0.98,0.96,1,0.833333333,0.944444444,0,0,0,2,2,1,98,49,80,Civil VIII,9,A-
290,A-,0.865,2,0.722222222,1,0.805555556,0.540540541,0.576923077,0.5,0.826086957,0,1,0.88,0.72,0.75,0.72,0.88,0.72,0.722222222,0.777777778,0.722222222,0,0,0,2,2,1,88,44,80,Civil VIII,9,A-
291,A-,0.865,2,0.811111111,0,0.861111111,0.621621622,0.788461538,0.710526316,0.782608696,1,0.666666667,0.84,0.92,0.666666667,0.92,0.84,0.92,1,0.777777778,0.944444444,0,0,1,2,2,1,84,42,80,Civil VIII,9,A-
292,A-,0.865,2,0.416666667,1,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,0,1,0.9,0.92,0.791666667,0.92,0.9,0.92,0.888888889,0.777777778,0.944444444,0.888888889,0,0,2,2,1,90,45,80,Civil VIII,9,A-
293,A-,0.86,2,0.816666667,0,0.805555556,0.621621622,0.788461538,0.710526316,0.782608696,1,0,0.92,0.9,0.833333333,0.9,0.92,0.9,1,0.833333333,1,1,0,0,2,2,1,92,46,80,Civil VIII,9,A-
294,A-,0.8575,2,0.416666667,1,0.694444444,0.594594595,0.519230769,0.789473684,0.793478261,1,0.666666667,0.84,0.88,0.666666667,0.88,0.84,0.88,0.666666667,0.666666667,0.944444444,0,0,1,2,2,1,84,42,80,Civil VIII,9,A-
295,A-,0.8525,2,0.791666667,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,0,1,0.84,0.84,0.666666667,0.84,0.84,0.84,0.888888889,0.722222222,1,0,0,0,2,2,1,84,42,80,Civil VIII,9,A-
296,A-,0.8525,2,0.927222222,1,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,0,1,0.62,0.8,0.208333333,0.8,0.62,0.8,0,0,0,1,0,0,2,2,1,62,31,80,Civil VIII,9,A-
297,A-,0.85,2,0.572222222,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,1,0.666666667,0.9,0.88,0.791666667,0.88,0.9,0.88,0.888888889,0.833333333,1,1,0,0,2,2,1,90,45,80,Civil VIII,9,A-
298,A-,0.8375,2,0.783333333,0,0.694444444,0.243243243,0.211538462,0.342105263,0.663043478,1,0.666666667,0.84,0.82,0.666666667,0.82,0.84,0.82,0.777777778,0.722222222,1,1,0,0,2,2,1,84,42,80,Civil VIII,9,A-
299,A-,0.8325,2,0.783333333,0,0.916666667,0.675675676,0.769230769,0.789473684,0.847826087,1,0.666666667,0.64,0.8,0.25,0.8,0.64,0.8,0.666666667,0.666666667,0.888888889,0,0,0,2,2,1,64,32,80,Civil VIII,9,A-
300,A-,0.8325,2,0.666666667,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,1,0.666666667,0.8,0.8,0.583333333,0.8,0.8,0.8,0.666666667,0.611111111,0.722222222,0.722222222,0,0,2,2,1,80,40,80,Civil VIII,9,A-
301,B+,0.8225,3,0.222222222,0,0.361111111,0.162162162,0.384615385,0.236842105,0.597826087,1,0.666666667,0.68,0.8,0.333333333,0.8,0.68,0.8,0.666666667,0,0.833333333,0,0,1,3,3,1,68,34,75,Civil VIII,8,B+
302,B+,0.8225,3,0.861111111,0,0.833333333,0.675675676,0.769230769,0.789473684,0.847826087,0.666666667,0.666666667,0.92,0.92,0.833333333,0.92,0.92,0.92,0.777777778,0.833333333,1,1,0,0,3,3,1,92,46,75,Civil VIII,8,B+
303,B+,0.82,3,0.305555556,0,0.5,0.27027027,0.384615385,0.394736842,0.706521739,0.666666667,1,0.84,0.82,0.666666667,0.82,0.84,0.82,0.666666667,0.611111111,0.777777778,0,0,0,3,3,1,84,42,75,Civil VIII,8,B+
304,B+,0.82,3,0.611111111,1,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,0,0.666666667,0.9,0.94,0.791666667,0.94,0.9,0.94,0.888888889,0.777777778,0.888888889,0,0,0.944444444,3,3,1,90,45,75,Civil VIII,8,B+
305,B+,0.8175,3,0.705,0,0.555555556,0.567567568,0.711538462,0.657894737,0.815217391,1,1,0.92,0.9,0.833333333,0.9,0.92,0.9,0.833333333,0.722222222,0.944444444,0,0,0,3,3,1,92,46,75,Civil VIII,8,B+
306,B+,0.8075,3,0.527777778,0,0.527777778,0.324324324,0.288461538,0.394736842,0.913043478,1,1,0.86,0.68,0.708333333,0.68,0.86,0.68,0.666666667,0.722222222,0.777777778,0.833333333,0,0,3,3,1,86,43,75,Civil VIII,8,B+
307,B+,0.805,3,0.769444444,1,0.5,0.702702703,0.865384615,1,1,0,1,0.9,0.84,0.791666667,0.84,0.9,0.84,0.777777778,0.722222222,0.888888889,0,0,0,3,3,1,90,45,75,Civil VIII,8,B+
308,B+,0.805,3,0.797222222,1,0.527777778,0.72972973,0.826923077,0.973684211,0.826086957,1,0.666666667,0.58,0.6,0.125,0.6,0.58,0.6,0,0,0.722222222,0.833333333,0,0,3,3,1,58,29,75,Civil VIII,8,B+
309,B+,0.805,3,0.350833333,0,0.027777778,0.621621622,0.769230769,0.447368421,0.923913043,1,0.666666667,0.9,0.8,0.791666667,0.8,0.9,0.8,0.777777778,0.722222222,0.777777778,0.944444444,0,0,3,3,1,90,45,75,Civil VIII,8,B+
310,B+,0.805,3,0.378611111,0,0.5,0.513513514,0.596153846,0.763157895,0.826086957,1,0.666666667,0.54,0.74,0.041666667,0.74,0.54,0.74,0.777777778,0.666666667,0.833333333,0,0,0,3,3,1,54,27,75,Civil VIII,8,B+
311,B+,0.8025,3,0.316111111,1,0.472222222,0.486486486,0.576923077,0.526315789,0.913043478,1,1,0.96,0.86,0.916666667,0.86,0.96,0.86,0.722222222,0.722222222,0.944444444,0.666666667,0,0,3,3,1,96,48,75,Civil VIII,8,B+
312,B+,0.7925,3,0.819444444,1,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,1,1,0.92,0.82,0.833333333,0.82,0.92,0.82,0.944444444,0.777777778,1,0.833333333,0,0,3,3,1,92,46,75,Civil VIII,8,B+
313,B+,0.79,3,0.305555556,0,0.611111111,0.567567568,0.673076923,0.921052632,0.760869565,1,1,0.72,0.68,0.416666667,0.68,0.72,0.68,0.666666667,0.722222222,0.777777778,0.666666667,0,0,3,3,1,72,36,75,Civil VIII,8,B+
314,B+,0.79,3,0.747222222,0,0.777777778,0.513513514,0.596153846,0.605263158,0.760869565,0,0.666666667,0.82,0.92,0.625,0.92,0.82,0.92,1,0.777777778,0.944444444,0,0,0,3,3,1,82,41,75,Civil VIII,8,B+
315,B+,0.7825,3,0.5,0,0.777777778,0.513513514,0.596153846,0.605263158,0.760869565,1,1,0.74,0.88,0.458333333,0.88,0.74,0.88,0.777777778,0.944444444,0.777777778,0.833333333,0,0,3,3,1,74,37,75,Civil VIII,8,B+
316,B+,0.7825,3,0.611111111,1,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,1,0.666666667,0.54,0.52,0.041666667,0.52,0.54,0.52,0,0,0,0.777777778,0,0,3,3,1,54,27,75,Civil VIII,8,B+
317,B+,0.7775,3,0.725,0,0.527777778,0.297297297,0.730769231,0.184210526,0.608695652,1,0.666666667,0.86,0.88,0.708333333,0.88,0.86,0.88,0.944444444,0.944444444,0.944444444,0,0,0,3,3,1,86,43,75,Civil VIII,8,B+
318,B+,0.7575,3,0.888888889,0,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,1,0.666666667,0.76,0.86,0.5,0.86,0.76,0.86,0.722222222,0.888888889,0.944444444,0.833333333,0,0,3,3,1,76,38,75,Civil VIII,8,B+
319,B+,0.7525,3,0.527777778,1,0.777777778,0.378378378,0.211538462,0.342105263,0.663043478,0.666666667,1,0.8,0.76,0.583333333,0.76,0.8,0.76,0.777777778,0.777777778,0.888888889,0,0,1,3,3,1,80,40,75,Civil VIII,8,B+
320,B,0.7475,4,0.305555556,0,0.555555556,0.297297297,0.538461538,0.236842105,0.782608696,0,0.666666667,0.9,0.86,0.791666667,0.86,0.9,0.86,0.944444444,1,1,1,0,0,4,4,1,90,45,70,Civil VIII,7,B
321,B,0.7475,4,0.333333333,0,0.555555556,0.297297297,0.538461538,0.236842105,0.782608696,0,1,0.8,0.8,0.583333333,0.8,0.8,0.8,0.666666667,0.833333333,0.833333333,0.833333333,0,0,4,4,1,80,40,70,Civil VIII,7,B
322,B,0.7475,4,0.222222222,1,0.5,0.324324324,0.519230769,0.631578947,0.77173913,1,0.666666667,0.7,0.72,0.375,0.72,0.7,0.72,0.833333333,0.888888889,0.777777778,0.611111111,0,0,4,4,1,70,35,70,Civil VIII,7,B
323,B,0.745,4,0.875,1,0.611111111,0.594594595,0.673076923,0.394736842,0.869565217,1,1,0.7,0.76,0.375,0.76,0.7,0.76,0.722222222,0.944444444,0.888888889,0,0,0,4,4,1,70,35,70,Civil VIII,7,B
