,GPAAA,GPA,GPAA,SLC,School,Plus,Physics,Math,Chemistry,Bio,Parent1,Parent2,X1,X2,X3,X4,X5,X6,X111,X222,X333,X444,X555,X666,GPAA,GPAA,pf,Int,Internal,FinalGPA,Prog,OrdGPA,GPAAA
45,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.9,0.8,0.708333333,0.74,0.88,0.78,0.833333333,0.833333333,0.833333333,0.777777778,0,0.833333333,0,0,0,90,45,0,Civil I,0,F
46,F,0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.54,0.7,0.708333333,0.74,0.86,0.72,0,0.833333333,0.722222222,0.777777778,0.722222222,0.833333333,0,0,0,54,27,0,Civil I,0,F
47,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.5,0.78,0.416666667,0.72,0.88,0.88,0,0.722222222,0,0.888888889,0.833333333,0.833333333,0,0,0,50,25,0,Civil I,0,F
48,F,0,0,0.583333333,0,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.8,0.8,0.416666667,0.7,0.78,0.64,0.777777778,0.777777778,0,0,0,0.777777778,0,0,0,80,40,0,Civil I,0,F
49,F,0,0,0.583333333,1,0.694444444,0.540540541,0.576923077,0.763157895,0.760869565,0.666666667,1,0.58,0.86,0.458333333,0.86,0.76,0.84,1,0.666666667,0.722222222,0,0,1,0,0,0,58,29,0,Civil III,0,F
50,F,0,0,0.133333333,1,0.388888889,0.405405405,0.576923077,0.131578947,0,0,0,0.62,0.82,0.375,0.84,0.92,0.84,1,0.666666667,0.722222222,0,0,1,0,0,0,62,31,0,Civil III,0,F
51,B,0.7025,4,0.701388889,0,0.722222222,0.351351351,0.480769231,0.815789474,0.815217391,1,0.666666667,0.74,0.86,0.541666667,0.78,0.98,0.84,0.777777778,0.777777778,0.833333333,0.833333333,0.611111111,1,4,4,1,74,37,70,Civil III,7,B
52,F,0,0,0.611111111,1,0.666666667,0.405405405,0.634615385,0.394736842,0.782608696,1,0.666666667,0.92,0.9,0.916666667,0.94,0.98,0.72,0.944444444,0.944444444,0.777777778,0,0,1,0,0,0,92,46,0,Civil III,0,F
53,A-,0.8525,2,0.75,1,0.805555556,0.702702703,0.826923077,0.552631579,0.815217391,0,0.666666667,0.86,0.92,0.916666667,0.86,0.98,0.84,1,0.944444444,0.944444444,0.777777778,0.777777778,0.888888889,2,2,1,86,43,80,Civil III,9,A-
54,A-,0.9,2,0.583333333,1,0.777777778,0.918918919,0.884615385,0.815789474,0.75,0,0,0.9,0.78,0.75,0.86,0.98,0.76,1,0.777777778,0.888888889,1,0.888888889,1,2,2,1,90,45,80,Civil III,9,A-
