"","GPA","SLC","School","Plus","Physics","Math","Chemistry","Bio","Parent1","Parent2","X1","X2","X3","X4","X5","X6","X111","X222","X333","X444","X555","X666"
"56",0,0.666666666666667,1,0.75,0.702702702702703,0.769230769230769,0.473684210526316,0.760869565217391,0.333333333333333,0.666666666666667,0.6,0.72,0.291666666666667,0.72,0.86,0.8,0,0.611111111111111,0,0.722222222222222,0,1
"57",0,0.652777777777778,0,0.777777777777778,0.540540540540541,0.634615384615385,0.552631578947368,0.804347826086957,0,0.666666666666667,0.88,0.82,0.583333333333333,0.74,0.98,0.88,0.833333333333333,0.666666666666667,0.777777777777778,0,0,1
"58",0,0.722222222222222,1,0.666666666666667,0.540540540540541,0.692307692307692,0.342105263157895,0.771739130434783,0.666666666666667,0.333333333333333,0.64,0.76,0.583333333333333,0.84,0.98,0.88,0.777777777777778,0.833333333333333,0,0.833333333333333,0.722222222222222,1
"59",0,0.744444444444444,1,0.666666666666667,0.540540540540541,0.711538461538462,0.342105263157895,0.717391304347826,0.333333333333333,0.666666666666667,0.9,0.84,0.625,0.74,0.92,0.92,0.833333333333333,0.611111111111111,0.722222222222222,0,0,1
"60",0,0.861111111111111,1,0.777777777777778,0.810810810810811,0.653846153846154,0.710526315789474,0,0.666666666666667,0.666666666666667,0.84,0.82,0.583333333333333,0.84,0.86,0.92,0.777777777777778,0.611111111111111,0,0,0,0.888888888888889
"61",0.6125,0.861111111111111,0,0.777777777777778,0.810810810810811,0.653846153846154,0.710526315789474,0,0.333333333333333,0.666666666666667,0.84,0.82,0.583333333333333,0.84,0.86,0.92,0.666666666666667,0.722222222222222,0.722222222222222,0.777777777777778,0.666666666666667,1
"62",0,0.861111111111111,1,0.777777777777778,0.810810810810811,0.653846153846154,0.710526315789474,0,0,0.666666666666667,0.84,0.82,0.583333333333333,0.84,0.86,0.92,0.777777777777778,0.777777777777778,0,0,0,1
"63",0,0.305555555555556,0,0.305555555555556,0,0.442307692307692,0,0.58695652173913,0,0.333333333333333,0.8,0.82,0.583333333333333,0.74,0.92,0.72,0.777777777777778,0.611111111111111,0,0,0,1
"64",0.9725,0.344444444444445,0,0.861111111111111,0.972972972972973,0.884615384615385,0.815789473684211,0.858695652173913,0.333333333333333,0.333333333333333,1,1,0.916666666666667,0.94,0.98,0.92,1,0.944444444444444,1,1,0.944444444444444,0.944444444444444
"65",0.8,0.75,1,0.833333333333333,0.702702702702703,0.903846153846154,0.552631578947368,0,0.333333333333333,0.666666666666667,0.74,0.82,0.833333333333333,0.86,0.86,0.72,0.888888888888889,0.888888888888889,0.833333333333333,0.944444444444444,0.666666666666667,1
"66",0.695,0.652777777777778,0,0.75,0.621621621621622,0.442307692307692,0.342105263157895,0,1,0.666666666666667,0.72,0.84,0.75,0.88,0.86,0.78,0.944444444444444,0.666666666666667,0.722222222222222,0.722222222222222,0.777777777777778,1
"67",0,0.866666666666667,1,0.944444444444444,0.810810810810811,0.884615384615385,0.552631578947368,0,1,0,0.9,0.76,0.75,0.92,0.98,0.72,0.777777777777778,0.722222222222222,0,0.944444444444444,0.777777777777778,1
"68",0.77,0.7,1,0.833333333333333,0.621621621621622,0.692307692307692,0.763157894736842,0.815217391304348,0.333333333333333,0.666666666666667,0.66,0.9,0.666666666666667,0.84,0.92,0.76,0.722222222222222,0.888888888888889,0.944444444444444,0.944444444444444,0.722222222222222,1
"69",0,0.7,0,0.833333333333333,0.621621621621622,0.692307692307692,0.763157894736842,0.815217391304348,0.666666666666667,0.666666666666667,0.66,0.9,0.666666666666667,0.84,0.92,0.96,0.944444444444444,0.833333333333333,0.944444444444444,0.888888888888889,0,1
