SLC,Plus,Physics,Math,Chemistry,Bio,Math2,int1,int2,int3,int4,int5,int6,SGPA
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.46,0,0.794871795,0.916666667,0,0.942857143,1,2
0.838709677,0.708333333,0.675675676,0.865384615,0.405405405,0.813953488,0.5,0.03125,0.871794872,0.875,0.035714286,0.942857143,0.941176471,2
0.870967742,0.708333333,0.675675676,0.865384615,0.405405405,0.813953488,0.32,0.0625,0.666666667,0.791666667,0.071428571,0.914285714,0.705882353,4
0.903225806,0.625,0.567567568,0.634615385,0.405405405,0.930232558,0.44,0.0625,0.820512821,0.541666667,0.071428571,0.742857143,1,2
0.483870968,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.2,0,0.461538462,0.583333333,0,0.714285714,0.117647059,4
0.516129032,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.3,0.03125,0.615384615,0.541666667,0.035714286,0.714285714,0.235294118,4
0.548387097,0.291666667,0.756756757,0.326923077,0.027027027,0.558139535,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.588235294,4
0.35483871,0.416666667,0.027027027,0.442307692,0.162162162,0,0.4,0.0625,0.769230769,0.791666667,0.035714286,0.885714286,0.470588235,4
0.225806452,0.291666667,0.486486486,0.365384615,0.459459459,0,0.38,0.0625,0.743589744,0.5,0.071428571,0.714285714,0.470588235,4
0.258064516,0.291666667,0.486486486,0.365384615,0.459459459,0,0.32,0,0.615384615,0.25,0,0.485714286,0.117647059,4
0.290322581,0.291666667,0.486486486,0.365384615,0.459459459,0,0.3,0.03125,0.615384615,0.5,0.035714286,0.685714286,0.235294118,4
0.548387097,0.583333333,0.540540541,0.576923077,0.783783784,0.813953488,0.18,0.0625,0.487179487,0,0.071428571,0.371428571,0.294117647,4
0.741935484,0.75,0.675675676,0.480769231,0.675675676,0,0.4,0.0625,0.769230769,0.541666667,0.071428571,0.742857143,0.882352941,2
